,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X468.5,20.0037174224854,22.3491172790527,18.9007663726807,18.9572601318359,19.4710063934326
X469.5,18.5784893035889,20.8893527984619,17.6109352111816,17.5039844512939,18.2485389709473
X470.5,18.6423492431641,21.2771415710449,17.3188209533691,17.9588584899902,18.3611679077148
X471.5,19.3509826660156,22.1481819152832,18.4077205657959,18.9793453216553,19.1708183288574
X472.5,20.4542179107666,22.3909511566162,19.586612701416,19.3930683135986,19.7137813568115
X473.5,20.8310985565186,22.2833652496338,19.4956684112549,19.4918479919434,19.5954685211182
X474.5,20.0423316955566,21.5051231384277,19.123851776123,18.623649597168,19.259183883667
X475.5,21.2947673797607,22.8935565948486,20.3179874420166,20.2347431182861,20.4864749908447
X476.5,21.1949024200439,23.0735855102539,20.0835037231445,20.0752086639404,20.3886337280273
X477.5,20.9671039581299,23.0798053741455,20.2833251953125,19.7491989135742,20.6115016937256
X478.5,22.3141021728516,24.4604148864746,21.413782119751,21.0436420440674,21.6275787353516
X479.5,20.4474277496338,22.6592292785645,19.3317718505859,19.6941566467285,19.8567981719971
X480.5,18.7265605926514,21.1196708679199,17.4855155944824,17.6896800994873,18.0218124389648
X481.5,18.6300220489502,20.9225463867188,17.1943454742432,17.6413841247559,17.7960186004639
X482.5,18.7689075469971,21.229772567749,17.3465938568115,18.1736640930176,18.2833824157715
X483.5,20.3434524536133,23.0659446716309,19.0346336364746,20.0137062072754,19.8692626953125
X484.5,21.1900444030762,23.0450916290283,20.3938159942627,20.1784725189209,20.5297737121582
X485.5,20.2355079650879,21.6727161407471,19.1254940032959,18.938777923584,19.2228107452393
X486.5,20.0228538513184,21.4539985656738,18.8697509765625,18.6217384338379,19.0294151306152
X487.5,20.8051776885986,22.4386577606201,19.9419345855713,19.7569026947021,20.1074657440186
X488.5,22.1616439819336,23.9244632720947,20.9077053070068,21.0488319396973,21.2549018859863
X489.5,20.4629764556885,22.4653511047363,19.8444728851318,19.2207508087158,20.0992107391357
X490.5,23.5594081878662,25.7332916259766,22.6538696289062,22.0060043334961,22.996114730835
X491.5,20.4868583679199,22.7666683197021,19.4640769958496,19.6100978851318,19.9659404754639
X492.5,18.0947780609131,20.6050491333008,16.9894714355469,17.047945022583,17.5111312866211
X493.5,18.555154800415,20.8509788513184,17.502613067627,17.5526752471924,18.044397354126
X494.5,18.7245502471924,21.2336921691895,17.4049949645996,18.1173629760742,18.3854789733887
X495.5,19.7033634185791,22.4281768798828,19.1469287872314,19.3278675079346,19.9193840026855
X496.5,20.2448215484619,22.1585292816162,19.6598720550537,19.1524429321289,19.7337512969971
X497.5,20.2004337310791,21.6604137420654,19.4241123199463,18.9554328918457,19.4745807647705
X498.5,20.2297859191895,21.7055854797363,19.5012359619141,18.8234157562256,19.627534866333
X499.5,20.5014839172363,22.2480792999268,20.2431030273438,19.3516845703125,20.3384857177734
X500.5,21.6090526580811,23.4639415740967,21.0088329315186,20.504810333252,21.3119125366211
X501.5,22.034029006958,23.9064750671387,21.2162322998047,20.7930355072021,21.4761199951172
X502.5,22.2824287414551,24.4565887451172,21.4512615203857,21.0799407958984,21.6271476745605
X503.5,21.2737483978271,23.4511089324951,20.4635009765625,20.4448318481445,20.9236488342285
X504.5,20.7152347564697,22.9790191650391,19.9270362854004,19.678394317627,20.380578994751
X505.5,19.0682258605957,21.2849922180176,17.9811153411865,18.0560321807861,18.494987487793
X506.5,19.5041332244873,21.988790512085,18.2546691894531,18.8721771240234,19.1756801605225
X507.5,19.5055484771729,22.2769546508789,18.6439800262451,19.0502166748047,19.3951206207275
X508.5,20.393970489502,22.4391136169434,19.9709072113037,19.3323783874512,20.0472564697266
X509.5,20.3584079742432,21.8664112091064,19.8473320007324,19.0796222686768,19.8966331481934
X510.5,18.6114749908447,20.1598682403564,17.9932727813721,17.2085132598877,18.0494556427002
X511.5,20.6773376464844,22.3694458007812,20.2358322143555,19.6037883758545,20.3382034301758
X512.5,20.9878578186035,22.8914642333984,20.1810855865479,19.9931449890137,20.4581527709961
X513.5,21.3154354095459,23.3024730682373,20.7194709777832,20.0846385955811,20.9777297973633
X514.5,21.3883609771729,23.7030982971191,20.8169956207275,20.1802349090576,20.9412288665771
X515.5,20.7552604675293,22.9909725189209,20.0221672058105,19.9449424743652,20.4855365753174
X516.5,20.2607975006104,22.5531482696533,19.7314586639404,19.2114562988281,20.1662216186523
X517.5,20.2499523162842,22.349479675293,19.2123126983643,19.3044166564941,19.7079772949219
X518.5,19.4243030548096,21.9236278533936,18.2646102905273,18.7996253967285,19.1841259002686
X519.5,20.1606254577637,22.8835296630859,19.1836166381836,19.7615852355957,19.9472103118896
X520.5,20.6164836883545,22.6105060577393,20.1390495300293,19.5560855865479,20.2404670715332
X521.5,21.3661365509033,22.8906669616699,20.621997833252,20.0162334442139,20.6630592346191
X522.5,20.669490814209,22.1355819702148,19.9977741241455,19.2625370025635,20.126049041748
X523.5,20.534086227417,22.1817684173584,19.7446060180664,19.4902687072754,19.9134922027588
X524.5,21.2360439300537,23.101053237915,20.4443035125732,20.1104011535645,20.7166290283203
X525.5,22.8069267272949,24.6213550567627,21.7698802947998,21.539529800415,22.0867710113525
X526.5,22.8806896209717,24.953239440918,22.439661026001,21.5904273986816,22.6026382446289
X527.5,21.014331817627,23.2094326019287,20.1486949920654,20.3034915924072,20.6640453338623
X528.5,19.4006958007812,21.5036869049072,19.0588073730469,18.505464553833,19.5307712554932
X529.5,19.8535861968994,22.0290355682373,19.0751667022705,18.9838809967041,19.6310691833496
X530.5,20.2113437652588,22.5703678131104,19.7693977355957,19.6144199371338,20.6354808807373
X531.5,20.8318767547607,23.4948883056641,19.9163112640381,20.3756275177002,20.6954536437988
X532.5,21.0926132202148,22.9752788543701,20.6165027618408,19.8904304504395,20.7113704681396
X533.5,19.6832523345947,21.1795635223389,19.4976692199707,18.3741855621338,19.4591274261475
X534.5,19.5279083251953,20.9965839385986,18.803503036499,18.1721324920654,18.9225311279297
X535.5,19.7347068786621,21.4633445739746,19.48655128479,18.7124862670898,19.5964183807373
X536.5,20.5136184692383,22.3772926330566,20.1647853851318,19.5496692657471,20.4021778106689
X537.5,22.0686855316162,23.9985618591309,21.0943908691406,20.8557300567627,21.3990020751953
X538.5,22.3593597412109,24.5341663360596,21.4614639282227,21.1724605560303,21.6145553588867
X539.5,21.1840877532959,23.4534797668457,20.2424545288086,20.4662208557129,20.7604427337646
X540.5,20.9138793945312,23.2102527618408,19.848295211792,19.8798904418945,20.3370819091797
X541.5,20.2996387481689,22.4230575561523,19.4696941375732,19.2574253082275,19.9488143920898
X542.5,20.6251487731934,22.9628105163574,19.5739841461182,20.0200157165527,20.4712543487549
X543.5,21.1377964019775,23.7943744659424,20.211498260498,20.6841831207275,20.9538021087646
X544.5,22.0622863769531,23.8668613433838,21.3181991577148,20.9950847625732,21.3881034851074
X545.5,21.6541042327881,23.1536483764648,20.8725566864014,20.2843112945557,20.9050197601318
X546.5,21.4255523681641,22.8366641998291,20.5968112945557,20.0495948791504,20.69921875
X547.5,22.2818222045898,23.9353141784668,21.3759441375732,21.1613807678223,21.5443058013916
X548.5,21.4154605865479,23.3488636016846,20.5793952941895,20.1820201873779,20.874418258667
X549.5,21.6594467163086,23.5875568389893,20.8463020324707,20.3471298217773,21.0882186889648
X550.5,22.1710071563721,24.3382568359375,21.5221862792969,20.8755569458008,21.6184978485107
X551.5,20.6240940093994,22.8776950836182,19.4992923736572,19.8423347473145,19.9961986541748
X552.5,19.2631092071533,21.7119960784912,18.5496406555176,18.2018241882324,19.0138454437256
X553.5,20.3985424041748,22.5576610565186,19.3162212371826,19.4440670013428,19.875696182251
X554.5,19.9582920074463,22.3749771118164,18.8265533447266,19.3456001281738,19.7440338134766
X555.5,20.2010860443115,22.9473762512207,19.1743488311768,19.7877807617188,19.9414577484131
X556.5,21.1056594848633,23.0254955291748,20.5015888214111,20.0162868499756,20.6071300506592
X557.5,21.040340423584,22.5778903961182,20.3913116455078,19.6611671447754,20.4214210510254
X558.5,21.3821773529053,22.8452320098877,20.9120960235596,19.9700527191162,21.0096569061279
X559.5,21.5764961242676,23.226390838623,20.6975975036621,20.5003700256348,20.8672370910645
X560.5,22.1820907592773,24.0701313018799,21.1209259033203,21.0350894927979,21.433162689209
X561.5,22.1500225067139,24.0220508575439,21.1741752624512,20.8900184631348,21.4464206695557
X562.5,20.7880191802979,23.2381343841553,20.8013210296631,19.6258602142334,20.903528213501
