,PISAC,PARURO,COLQUEPATA,CCATCCA,CAICAY
X349.5,102.095001220703,148.524673461914,106.343780517578,114.843795776367,120.71070098877
X350.5,127.264747619629,150.123992919922,132.651580810547,142.856735229492,131.616561889648
X351.5,64.7230529785156,55.8081169128418,63.793041229248,49.5495491027832,45.715404510498
X352.5,8.88144779205322,7.20980072021484,17.3023204803467,7.12779474258423,8.00357532501221
X353.5,8.03983211517334,3.0095374584198,8.38585376739502,5.51305437088013,7.60773754119873
X354.5,0,0,0.04371028393507,0.368718415498734,0.0617922879755497
X355.5,11.9186305999756,5.10391044616699,18.8876037597656,8.16848564147949,7.53838634490967
X356.5,24.202657699585,27.193151473999,38.8228797912598,23.0128307342529,19.3877925872803
X357.5,38.1081962585449,42.7328414916992,29.7626438140869,28.0702629089355,29.1917037963867
X358.5,72.8202133178711,78.0743026733398,91.9708251953125,57.9386444091797,61.849250793457
X359.5,65.7498931884766,106.303634643555,81.9246444702148,51.6472702026367,65.698616027832
X360.5,119.355781555176,158.271759033203,118.540313720703,124.570579528809,131.678070068359
X361.5,77.6788101196289,115.613349914551,77.8226470947266,84.8475723266602,87.7067489624023
X362.5,63.8489112854004,69.969841003418,59.079288482666,56.0652694702148,57.0874214172363
X363.5,57.7150344848633,51.9388008117676,45.2794876098633,32.0760078430176,33.3012733459473
X364.5,9.91189479827881,6.20441627502441,17.5662574768066,3.08995032310486,5.66993856430054
X365.5,43.0459022521973,25.0590076446533,49.4159469604492,36.5264549255371,45.6361236572266
X366.5,0,0,0.144864246249199,0.303550541400909,0.0156466998159885
X367.5,8.7160587310791,3.15092921257019,12.9040908813477,4.97845554351807,5.03852415084839
X368.5,12.109058380127,17.8358383178711,22.3495826721191,4.03273057937622,6.1176552772522
X369.5,71.9165496826172,84.1943588256836,56.9051246643066,49.051025390625,61.4699592590332
X370.5,113.76830291748,126.351112365723,131.051864624023,83.9352416992188,88.8080596923828
X371.5,74.5858840942383,136.005569458008,108.455635070801,112.014556884766,101.36678314209
X372.5,81.5600967407227,113.45645904541,81.353157043457,83.3587112426758,87.0940856933594
X373.5,112.821296691895,180.49348449707,114.377632141113,142.976715087891,140.318344116211
X374.5,77.7477493286133,116.311218261719,94.2526092529297,64.3623504638672,78.7939224243164
